@relation data2

@attribute SEHIRLER {ADANA,AFYON,AGRI,AMASYA,ANKARA,ANTALYA,AYDIN,BALIKESIR,BOLU,BURDUR,BURSA,CANAKKALE,CANKIRI,DUZCE,ERZURUM,ESKISEHIR,GAZIANTEP,GIRESUN,HATAY,ISTANBUL,IZMIR,KARS,KASTAMONU,KASYSERI,KILIS,KOCAELI,KONYA,KUTAHYA,MANISA,MERSIN,MUGLA,NEVSEHIR,NIGDE,ORDU,OSMANIYE,SAMSUN,TEKIRDAG,TOKAT,TRABZON,SINOP,USAK,ZONGULDAK}
@attribute SO2 numeric
@attribute NO2 numeric
@attribute CO numeric
@attribute O3 numeric
@attribute PM10 numeric
@attribute 'HAVA KALITESI' {iyi,kotu}

@data
NEVSEHIR,10.04,32.73,540.45,50.99,71.92,kotu
NEVSEHIR,9.04,34.47,591.37,45.73,66.3,iyi
NEVSEHIR,10.56,35.32,344.24,46.11,54.17,iyi
NEVSEHIR,6.15,30.03,365.8,26.09,38.47,iyi
NEVSEHIR,4.44,20.61,358.77,32.86,22.28,iyi
NEVSEHIR,5.61,36.45,618.53,20.02,41.34,iyi
NIGDE,14.77,47.77,420.91,30.34,66.3,iyi
NIGDE,10.77,34.83,393.36,35.23,44.83,iyi
NIGDE,19.46,58.01,484.19,25.36,64.53,iyi
NIGDE,11.06,51.65,456.21,25.03,70.65,kotu
NIGDE,15.44,47.87,390.88,21.55,76.11,kotu
NIGDE,30.75,37.91,357.02,30.51,62.99,iyi
NIGDE,18.2,40.66,475.65,35.01,54.83,iyi
NIGDE,10.11,29.56,358.36,31.54,35.3,iyi
NIGDE,8.31,30.39,360.28,29.62,35.6,iyi
NIGDE,7.77,25.99,344.13,27.47,28.61,iyi
ORDU,5.65,26.55,524.19,30.54,48.09,iyi
ORDU,5.79,31.12,860.87,14.52,68.61,iyi
ORDU,7.16,32.28,940.65,21.8,84.82,kotu
ORDU,5.41,29.43,804.14,17.88,73.88,kotu
ORDU,7.71,31.1,768.72,13.55,84.48,kotu
ORDU,7.26,32.27,760.29,17.21,89.02,kotu
ORDU,6.87,32.78,860.08,12.01,96.83,kotu
ORDU,6.82,30.88,834.91,15.57,65.76,iyi
ORDU,5.97,28.14,645.37,26.33,59.96,iyi
ORDU,6.19,30.63,753.82,19.68,56.28,iyi
OSMANIYE,9.69,36.6,702.1,25.783333,70.22,kotu
OSMANIYE,13.01,31.98,702.1,25.783333,77.44,kotu
OSMANIYE,13.97,39.73,702.1,25.783333,71.14,kotu
OSMANIYE,9.785556,40.71,702.1,42.11,63.61,iyi
OSMANIYE,12.07,35.55,702.1,25.783333,71.53,kotu
OSMANIYE,5.33,36.69,702.1,25.783333,77.55,kotu
OSMANIYE,9.53,42.55,595.21,16.71,54.07,iyi
OSMANIYE,9.28,30.78,702.1,25.783333,46.96,iyi
OSMANIYE,7.28,45.77,757.89,25.783333,77.23,kotu
OSMANIYE,7.91,48.76,753.2,18.53,80.51,kotu
SAMSUN,6.75,18.44,505.34,23.15,33.04,iyi
SAMSUN,5.86,31.59,836.85,14.68,36.43,iyi
SAMSUN,6.82,23.22,750.4,21.4,53.54,iyi
SAMSUN,7.58,25.65,674.7,16.65,46.5,iyi
SAMSUN,10.09,26.44,921.95,9.44,55.37,iyi
SAMSUN,5.84,18.31,455.75,22.12,48.59,iyi
SAMSUN,6.7,21.49,487.26,29.97,38.45,iyi
SAMSUN,7.71,23.58,691.32,20.16,31.46,iyi
SAMSUN,7.12,28.75,708.35,15.05,35.55,iyi
SAMSUN,6.45,30.13,733.21,16.51,42.24,iyi
TEKIRDAG,26.13,20.17,286.59,31.47,92.24,kotu
TEKIRDAG,3.31,22,1271.68,25.64,64.81,iyi
TEKIRDAG,17.31,12.57,1834.24,38.83,81.51,kotu
TEKIRDAG,4.5,22.57,1861.21,44.72,60.02,iyi
TEKIRDAG,10.64,31.62,2520.87,35.86,102.94,kotu
TEKIRDAG,7.2,29.09,1891.89,30.32,100.8,kotu
TEKIRDAG,7.07,18.6,1650.18,43.7,58.11,iyi
TEKIRDAG,7.19,20.76,1676.08,32.58,60.82,iyi
TEKIRDAG,23.33,27.66,1716.7,19.33,102.1,kotu
TEKIRDAG,27.27,25.63,1761.25,31.98,109.16,kotu
TOKAT,5.67,48.04,614.31,19.36,36.54,iyi
TOKAT,6.02,50.51,652.8,16.21,46.6,iyi
TOKAT,7.12,66.58,990.41,10.38,70.7,kotu
TOKAT,6.34,57.59,845.7,14.72,59.08,iyi
TOKAT,6.47,61.88,967.33,12.13,66.33,iyi
TOKAT,6.19,58.1,1400.28,15.72,69.88,iyi
TOKAT,6.06,62.56,1151.89,10.35,122.59,kotu
TOKAT,30.58,44.24,819.96,16.67,24.13,iyi
TOKAT,8.72,37.38,818.71,19.27,18.53,iyi
TOKAT,7.28,41.1,811.95,16.8,31.66,iyi
TRABZON,4.13,29.2,381.25,46.63,9.88,iyi
TRABZON,3.97,23.33,629.54,37.03,3.04,iyi
TRABZON,4.35,18.94,688.93,47.3,3.89,iyi
TRABZON,4.23,13.97,568.41,37.12,12.09,iyi
TRABZON,3.99,26.62,775.86,40.08,12.11,iyi
TRABZON,3.92,28.11,455.99,40.5,18.58,iyi
TRABZON,3.87,26.9,595.26,44.05,8.07,iyi
TRABZON,3.79,29.99,555.83,37.82,1.17,iyi
TRABZON,4.04,27.55,345.77,56.43,2.04,iyi
TRABZON,4.09,28.98,392.31,25.62,1.81,iyi
SINOP,26.51,101.016667,668.58,21.63,131.14,kotu
